effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,piano,piano_EQ_tinny_0.4.wav,tinny,a tinny sound,0.4,0.11158938,0.11903376,0.0074443817
eq,piano,piano_EQ_tinny_0.6.wav,tinny,a tinny sound,0.6,0.11158938,0.1282579,0.01666852
eq,piano,piano_EQ_tinny_0.8.wav,tinny,a tinny sound,0.8,0.11158938,0.13679682,0.025207438
eq,piano,piano_EQ_tinny_1.0.wav,tinny,a tinny sound,1.0,0.11158938,0.14618374,0.034594364
eq,piano,piano_EQ_warm_0.2.wav,warm,a warm sound,0.2,0.13296793,0.13106416,-0.0019037724
eq,piano,piano_EQ_warm_0.4.wav,warm,a warm sound,0.4,0.13296793,0.13070053,-0.0022674054
eq,piano,piano_EQ_warm_0.6.wav,warm,a warm sound,0.6,0.13296793,0.13021128,-0.0027566552
eq,piano,piano_EQ_warm_0.8.wav,warm,a warm sound,0.8,0.13296793,0.12769742,-0.005270511
eq,piano,piano_EQ_warm_1.0.wav,warm,a warm sound,1.0,0.13296793,0.13138843,-0.0015795082
eq,mixture,mixture_EQ_bright_0.2.wav,bright,a bright sound,0.2,-0.033386618,-0.036554396,-0.0031677783
eq,mixture,mixture_EQ_bright_0.4.wav,bright,a bright sound,0.4,-0.033386618,-0.037355315,-0.003968697
eq,mixture,mixture_EQ_bright_0.6.wav,bright,a bright sound,0.6,-0.033386618,-0.037748344,-0.0043617263
eq,mixture,mixture_EQ_bright_0.8.wav,bright,a bright sound,0.8,-0.033386618,-0.037516292,-0.0041296743
eq,mixture,mixture_EQ_bright_1.0.wav,bright,a bright sound,1.0,-0.033386618,-0.03668262,-0.0032960027
eq,mixture,mixture_EQ_calm_0.2.wav,calm,a calm sound,0.2,0.042580966,0.04001221,-0.0025687553
eq,mixture,mixture_EQ_calm_0.4.wav,calm,a calm sound,0.4,0.042580966,0.041491374,-0.0010895915
eq,mixture,mixture_EQ_calm_0.6.wav,calm,a calm sound,0.6,0.042580966,0.042404037,-0.00017692894
eq,mixture,mixture_EQ_calm_0.8.wav,calm,a calm sound,0.8,0.042580966,0.04372113,0.0011401623
eq,mixture,mixture_EQ_calm_1.0.wav,calm,a calm sound,1.0,0.042580966,0.04465652,0.002075553
eq,mixture,mixture_EQ_clear_0.2.wav,clear,a clear sound,0.2,0.09051698,0.08589745,-0.004619524
eq,mixture,mixture_EQ_clear_0.4.wav,clear,a clear sound,0.4,0.09051698,0.08433692,-0.0061800554
eq,mixture,mixture_EQ_clear_0.6.wav,clear,a clear sound,0.6,0.09051698,0.08309593,-0.0074210465
eq,mixture,mixture_EQ_clear_0.8.wav,clear,a clear sound,0.8,0.09051698,0.08198789,-0.008529089
eq,mixture,mixture_EQ_clear_1.0.wav,clear,a clear sound,1.0,0.09051698,0.08123587,-0.009281106
eq,mixture,mixture_EQ_cold_0.2.wav,cold,a cold sound,0.2,0.04779324,0.04532451,-0.0024687275
eq,mixture,mixture_EQ_cold_0.4.wav,cold,a cold sound,0.4,0.04779324,0.04832559,0.00053235143
eq,mixture,mixture_EQ_cold_0.6.wav,cold,a cold sound,0.6,0.04779324,0.05174964,0.0039564
eq,mixture,mixture_EQ_cold_0.8.wav,cold,a cold sound,0.8,0.04779324,0.05596663,0.008173391
eq,mixture,mixture_EQ_cold_1.0.wav,cold,a cold sound,1.0,0.04779324,0.060615577,0.012822337
eq,mixture,mixture_EQ_cool_0.2.wav,cool,a cool sound,0.2,-0.13188292,-0.13279249,-0.0009095669
eq,mixture,mixture_EQ_cool_0.4.wav,cool,a cool sound,0.4,-0.13188292,-0.13383654,-0.0019536167
eq,mixture,mixture_EQ_cool_0.6.wav,cool,a cool sound,0.6,-0.13188292,-0.13444895,-0.0025660247
eq,mixture,mixture_EQ_cool_0.8.wav,cool,a cool sound,0.8,-0.13188292,-0.13396928,-0.0020863563
eq,mixture,mixture_EQ_cool_1.0.wav,cool,a cool sound,1.0,-0.13188292,-0.13317513,-0.0012922138
eq,mixture,mixture_EQ_crisp_0.2.wav,crisp,a crisp sound,0.2,0.057914607,0.057893373,-2.1234155e-05
eq,mixture,mixture_EQ_crisp_0.4.wav,crisp,a crisp sound,0.4,0.057914607,0.062119525,0.0042049177
eq,mixture,mixture_EQ_crisp_0.6.wav,crisp,a crisp sound,0.6,0.057914607,0.06706373,0.009149119
eq,mixture,mixture_EQ_crisp_0.8.wav,crisp,a crisp sound,0.8,0.057914607,0.07252862,0.014614016
eq,mixture,mixture_EQ_crisp_1.0.wav,crisp,a crisp sound,1.0,0.057914607,0.078386866,0.020472258
eq,mixture,mixture_EQ_dark_0.2.wav,dark,a dark sound,0.2,0.04823899,0.047147267,-0.0010917224
eq,mixture,mixture_EQ_dark_0.4.wav,dark,a dark sound,0.4,0.04823899,0.044531524,-0.0037074648
eq,mixture,mixture_EQ_dark_0.6.wav,dark,a dark sound,0.6,0.04823899,0.044416204,-0.0038227849
eq,mixture,mixture_EQ_dark_0.8.wav,dark,a dark sound,0.8,0.04823899,0.045746773,-0.0024922155
eq,mixture,mixture_EQ_dark_1.0.wav,dark,a dark sound,1.0,0.04823899,0.045961663,-0.0022773258
eq,mixture,mixture_EQ_gentle_0.2.wav,gentle,a gentle sound,0.2,0.17845151,0.17478119,-0.00367032
eq,mixture,mixture_EQ_gentle_0.4.wav,gentle,a gentle sound,0.4,0.17845151,0.17618904,-0.002262473
